code,description,last_updated
CD001007AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS PART OF AMCC TEST FOR ESRD OR MCP MD                           4270.2                                                                             D                                      2004010120040101        N,,2025-11-19 23:10:51
CD002008THE COMPOSITE RATE AND IS NOT SEPARATELY BILLABLE,,2025-11-19 23:10:51
CE001007AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS A       MED NECES AMCC TST SEP REIMB                           4270.2                                                                             D                                      2004010120040101        N,,2025-11-19 23:10:51
CE002008COMPOSITE RATE TEST BUT IS BEYOND THE NORMAL FREQUENCY COVERED UNDER THE RATE,,2025-11-19 23:10:51
CE003008AND IS SEPARATELY REIMBURSABLE BASED ON MEDICAL NECESSITY,,2025-11-19 23:10:51
CF001007AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS NOT     AMCC TST NOT COMPOSITE RATE                            4270.2                                                                             D                                      2004010120040101        N,,2025-11-19 23:10:51
CF002008PART OF THE COMPOSITE RATE AND IS SEPARATELY BILLABLE,,2025-11-19 23:10:51
CG001007POLICY CRITERIA APPLIED                                                         POLICY CRITERIA APPLIED                                                                                                                   C                                      2008070120080701        N,,2025-11-19 23:10:51
"CH0010070 PERCENT IMPAIRED, LIMITED OR RESTRICTED                                       0 PERCENT IMPAIRED, LTD, RES                                                                                                              D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CI001007AT LEAST 1 PERCENT BUT LESS THAN 20 PERCENT IMPAIRED, LIMITED OR RESTRICTED     1 TO <20 PERCENT IMPAIRED                                                                                                                 D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CJ001007AT LEAST 20 PERCENT BUT LESS THAN 40 PERCENT IMPAIRED, LIMITED OR RESTRICTED    20 TO <40 PERCENT IMPAIRED                                                                                                                D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CK001007AT LEAST 40 PERCENT BUT LESS THAN 60 PERCENT IMPAIRED, LIMITED OR RESTRICTED    40 TO <60 PERCENT IMPAIRED                                                                                                                D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CL001007AT LEAST 60 PERCENT BUT LESS THAN 80 PERCENT IMPAIRED, LIMITED OR RESTRICTED    60 TO <80 PERCENT IMPAIRED                                                                                                                D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CM001007AT LEAST 80 PERCENT BUT LESS THAN 100 PERCENT IMPAIRED, LIMITED OR RESTRICTED   80 TO <100 PERCENT IMPAIRED                                                                                                               D                      0180            2013010120130101        N",,2025-11-19 23:10:51
"CN001007100 PERCENT IMPAIRED, LIMITED OR RESTRICTED                                     100 PERCENT IMPAIRED, LTD                                                                                                                 D                      0180            2013010120130101        N",,2025-11-19 23:10:51
CO001007OUTPATIENT OCCUPATIONAL THERAPY SERVICES FURNISHED IN WHOLE OR IN PART BY AN    OUTPATIENT OT SERVICE BY OTA                                                                                                              C                                      2019010120190101        N,,2025-11-19 23:10:51
CO002008OCCUPATIONAL THERAPY ASSISTANT,,2025-11-19 23:10:51
CP001007ADJUNCTIVE SERVICE RELATED TO A PROCEDURE ASSIGNED TO A COMPREHENSIVE           C-APC ADJUNCTIVE SERVICE                                                                                                                  C                                      201601012018010120171231N,,2025-11-19 23:10:51
"CP002008AMBULATORY PAYMENT CLASSIFICATION (C-APC) PROCEDURE, BUT REPORTED ON A",,2025-11-19 23:10:51
CP003008DIFFERENT CLAIM,,2025-11-19 23:10:51
CQ001007OUTPATIENT PHYSICAL THERAPY SERVICES FURNISHED IN WHOLE OR IN PART BY A         OUTPATIENT PT SERVICE BY PTA                                                                                                              C                                      2019010120190101        N,,2025-11-19 23:10:51
CQ002008PHYSICAL THERAPIST ASSISTANT,,2025-11-19 23:10:51
CR001007CATASTROPHE/DISASTER RELATED                                                    CATASTROPHE/DISASTER RELATED                                                                                                              C                                      2005082120050821        N,,2025-11-19 23:10:51
CS001007COST-SHARING WAIVED FOR SPECIFIED COVID-19 TESTING-RELATED SERVICES THAT RESULT COST SHARE WAIVER COVID-19                                                                                                                C                                      2011010120200301        N,,2025-11-19 23:10:51
CS002008IN AND ORDER FOR OR ADMINISTRATION OF A COVID-19 TEST AND/OR USED FOR,,2025-11-19 23:10:51
CS003008COST-SHARING WAIVED PREVENTIVE SERVICES FURNISHED VIA TELEHEALTH IN RURAL,,2025-11-19 23:10:51
CS004008HEALTH CLINICS AND FEDERALLY QUALIFIED HEALTH CENTERS DURING THE COVID-19,,2025-11-19 23:10:51
CS005008PUBLIC HEALTH EMERGENCY,,2025-11-19 23:10:51
CT001007COMPUTED TOMOGRAPHY SERVICES FURNISHED USING EQUIPMENT THAT DOES NOT MEET EACH  CT DOES NOT MEET NEMA STANDA                                                                                                              C                                      2016010120160101        N,,2025-11-19 23:10:51
CT002008OF THE ATTRIBUTES OF THE NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (NEMA),,2025-11-19 23:10:51
CT003008XR-29-2013 STANDARD,,2025-11-19 23:10:51
"DA001007ORAL HEALTH ASSESSMENT BY A LICENSED HEALTH PROFESSIONAL OTHER THAN A DENTIST   ORAL HEALTH ASSESS, NOT DENT                                                                                                              C                                      2011010120110101        N",,2025-11-19 23:10:51
"E1001007UPPER LEFT, EYELID                                                              UPPER LEFT EYELID                                                                                                                         C                                      1995010119990101        N",,2025-11-19 23:10:51
"E2001007LOWER LEFT, EYELID                                                              LOWER LEFT EYELID                                                                                                                         C                                      1995010119990101        N",,2025-11-19 23:10:51
"E3001007UPPER RIGHT, EYELID                                                             UPPER RIGHT EYELID                                                                                                                        C                                      1995010119990101        N",,2025-11-19 23:10:51
"E4001007LOWER RIGHT, EYELID                                                             LOWER RIGHT EYELID                                                                                                                        C                                      1995010119990101        N",,2025-11-19 23:10:51
"EA001007ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO       ESA, ANEMIA, CHEMO-INDUCED                                                                                                                D                      0147            2008010120080101        N",,2025-11-19 23:10:51
EA002008ANTI-CANCER CHEMOTHERAPY,,2025-11-19 23:10:51
"EB001007ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO       ESA, ANEMIA, RADIO-INDUCED                                                                                                                D                      0147            2008010120080101        N",,2025-11-19 23:10:51
EB002008ANTI-CANCER RADIOTHERAPY,,2025-11-19 23:10:51
"EC001007ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA NOT DUE TO   ESA, ANEMIA, NON-CHEMO/RADIO                                                                                                              D                      0147            2008010120080101        N",,2025-11-19 23:10:51
EC002008ANTI-CANCER RADIOTHERAPY OR ANTI-CANCER CHEMOTHERAPY,,2025-11-19 23:10:51
ED001007HEMATOCRIT LEVEL HAS EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS EXCEEDED 13.0 G/DL)  HCT>39% OR HGB>13G>=3 CYCLE                                                                                                               D                      0145            2008010120080101        N,,2025-11-19 23:10:51
ED002008FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND INCLUDING THE,,2025-11-19 23:10:51
ED003008CURRENT CYCLE,,2025-11-19 23:10:51
EE001007HEMATOCRIT LEVEL HAS NOT EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS NOT EXCEEDED     HCT>39% OR HGB>13G<3 CYCLE                                                                                                                D                      0145            2008010120080101        N,,2025-11-19 23:10:51
EE00200813.0 G/DL) FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND,,2025-11-19 23:10:51
EE003008INCLUDING THE CURRENT CYCLE,,2025-11-19 23:10:51
"EJ001007SUBSEQUENT CLAIMS FOR A DEFINED COURSE OF THERAPY, E.G., EPO, SODIUM            SUBSEQUENT CLAIM                                       4273.2                                                                             D                                      1991010120000101        N",,2025-11-19 23:10:51
"EJ002008HYALURONATE, INFLIXIMAB",,2025-11-19 23:10:51
EM001007EMERGENCY RESERVE SUPPLY (FOR ESRD BENEFIT ONLY)                                EMER RESERVE SUPPLY (ESRD)                             3045.7                                                                             D                                      1991010119970101        N,,2025-11-19 23:10:51
EP001007SERVICE PROVIDED AS PART OF MEDICAID EARLY PERIODIC SCREENING DIAGNOSIS AND     MEDICAID EPSDT PROGRAM SVC                                                                                                                C                                      1987010119970101        N,,2025-11-19 23:10:51
EP002008TREATMENT (EPSDT) PROGRAM,,2025-11-19 23:10:51
"ER001007ITEMS AND SERVICES FURNISHED BY A PROVIDER-BASED, OFF-CAMPUS EMERGENCY          OFF-CAMPUS ED SERVICE                                                                                                                     C                                      2019010120190101        N",,2025-11-19 23:10:51
ER002008DEPARTMENT,,2025-11-19 23:10:51
ET001007EMERGENCY SERVICES                                                              EMERGENCY SERVICES                                                                                                                        C                                      1984010120020101        N,,2025-11-19 23:10:51
EX001007EXPATRIATE BENEFICIARY                                                          EXPATRIATE BENEFICIARY                                                                                                                    C                                      2015040120150401        N,,2025-11-19 23:10:51
EY001007NO PHYSICIAN OR OTHER LICENSED HEALTH CARE PROVIDER ORDER FOR THIS ITEM OR      NO MD ORDER FOR ITEM/SERVICE                                                                                                              C                                      2003010120030101        N,,2025-11-19 23:10:51
EY002008SERVICE,,2025-11-19 23:10:51
"F1001007LEFT HAND, SECOND DIGIT                                                         LEFT HAND, SECOND DIGIT                                                                                                                   C                                      1995010119990101        N",,2025-11-19 23:10:51
"F2001007LEFT HAND, THIRD DIGIT                                                          LEFT HAND, THIRD DIGIT                                                                                                                    C                                      1995010119990101        N",,2025-11-19 23:10:51
"F3001007LEFT HAND, FOURTH DIGIT                                                         LEFT HAND, FOURTH DIGIT                                                                                                                   C                                      1995010119990101        N",,2025-11-19 23:10:51
"F4001007LEFT HAND, FIFTH DIGIT                                                          LEFT HAND, FIFTH DIGIT                                                                                                                    C                                      1995010119990101        N",,2025-11-19 23:10:51
"F5001007RIGHT HAND, THUMB                                                               RIGHT HAND, THUMB                                                                                                                         C                                      1995010119990101        N",,2025-11-19 23:10:51
"F6001007RIGHT HAND, SECOND DIGIT                                                        RIGHT HAND, SECOND DIGIT                                                                                                                  C                                      1995010119990101        N",,2025-11-19 23:10:51
"F7001007RIGHT HAND, THIRD DIGIT                                                         RIGHT HAND, THIRD DIGIT                                                                                                                   C                                      1995010119990101        N",,2025-11-19 23:10:51
"F8001007RIGHT HAND, FOURTH DIGIT                                                        RIGHT HAND, FOURTH DIGIT                                                                                                                  C                                      1995010119990101        N",,2025-11-19 23:10:51
"F9001007RIGHT HAND, FIFTH DIGIT                                                         RIGHT HAND, FIFTH DIGIT                                                                                                                   C                                      1995010119990101        N",,2025-11-19 23:10:51
"FA001007LEFT HAND, THUMB                                                                LEFT HAND, THUMB                                                                                                                          C                                      1995010119990101        N",,2025-11-19 23:10:51
"FB001007ITEM PROVIDED WITHOUT COST TO PROVIDER, SUPPLIER OR PRACTITIONER, OR FULL       ITEM PROVIDED WITHOUT COST                                                                                                                I                                      2006010120080101        N",,2025-11-19 23:10:51
"FB002008CREDIT RECEIVED FOR REPLACED DEVICE (EXAMPLES, BUT NOT LIMITED TO, COVERED",,2025-11-19 23:10:51
"FB003008UNDER WARRANTY, REPLACED DUE TO DEFECT, FREE SAMPLES)",,2025-11-19 23:10:51
"FC001007PARTIAL CREDIT RECEIVED FOR REPLACED DEVICE                                     PART CREDIT, REPLACED DEVICE                                                                                                              D                      0143            2008010120080101        N",,2025-11-19 23:10:51
FP001007SERVICE PROVIDED AS PART OF FAMILY PLANNING PROGRAM                             SVC PART OF FAMILY PLAN PGM                                                                                                               C                                      1987010120050101        N,,2025-11-19 23:10:51
FQ001007THE SERVICE WAS FURNISHED USING AUDIO-ONLY COMMUNICATION TECHNOLOGY             AUDIO-ONLY SERVICE                                                                                                                        C                                      2022010120220101        N,,2025-11-19 23:10:51
"FR001007THE SUPERVISING PRACTITIONER WAS PRESENT THROUGH TWO-WAY, AUDIO/VIDEO           TWO-WAY A/V DIR SUPERVISION                                                                                                               C                                      2022010120220101        N",,2025-11-19 23:10:51
FR002008COMMUNICATION TECHNOLOGY,,2025-11-19 23:10:51
FS001007SPLIT (OR SHARED) EVALUATION AND MANAGEMENT VISIT                               SPLIT OR SHARED E/M VISIT                                                                                                                 C                                      2022010120220101        N,,2025-11-19 23:10:51
"FT001007UNRELATED EVALUATION AND MANAGEMENT (E/M) VISIT ON THE SAME DAY AS ANOTHER E/M  SEPARATE, UNRELATED E/M                                                                                                                   C                                      2022010120220101        N",,2025-11-19 23:10:51
"FT002008VISIT OR DURING A GLOBAL PROCEDURE (PREOPERATIVE, POSTOPERATIVE PERIOD, OR ON",,2025-11-19 23:10:51
"FT003008THE SAME DAY AS THE PROCEDURE, AS APPLICABLE). (REPORT WHEN AN E/M VISIT IS",,2025-11-19 23:10:51
"FT004008FURNISHED WITHIN THE GLOBAL PERIOD BUT IS UNRELATED, OR WHEN ONE OR MORE",,2025-11-19 23:10:51
FT005008ADDITIONAL E/M VISITS FURNISHED ON THE SAME DAY ARE UNRELATED),,2025-11-19 23:10:51
FX001007X-RAY TAKEN USING FILM                                                          X-RAY TAKEN USING FILM                                                                                                                    C                                      2017010120170101        N,,2025-11-19 23:10:51
FY001007X-RAY TAKEN USING COMPUTED RADIOGRAPHY TECHNOLOGY/CASSETTE-BASED IMAGING        COMPUTED RADIOGRAPHY X-RAY                                                                                                                C                                      2018010120180101        N,,2025-11-19 23:10:51
"G0001007TELEHEALTH SERVICES FOR DIAGNOSIS, EVALUATION, OR TREATMENT, OF SYMPTOMS OF AN  TELESTROKE                                                                                                                                C                                      2019010120190101        N",,2025-11-19 23:10:51
G0002008ACUTE STROKE,,2025-11-19 23:10:51
G1001007MOST RECENT URR READING OF LESS THAN 60                                         URR READING OF LESS THAN 60                                                                                                               C                                      1997010119980101        N,,2025-11-19 23:10:51
G2001007MOST RECENT URR READING OF 60 TO 64.9                                           URR READING OF 60 TO 64.9                                                                                                                 C                                      1997010119980101        N,,2025-11-19 23:10:51
G3001007MOST RECENT URR READING OF 65 TO 69.9                                           URR  READING OF 65 TO 69.9                                                                                                                C                                      1997010119980101        N,,2025-11-19 23:10:51
G4001007MOST RECENT URR READING OF 70 TO 74.9                                           URR READING OF 70 TO 74.9                                                                                                                 C                                      1997010119970101        N,,2025-11-19 23:10:51
G5001007MOST RECENT URR READING OF 75 OR GREATER                                        URR READING OF 75 OR GREATER                                                                                                              C                                      1997010119980101        N,,2025-11-19 23:10:51
G6001007ESRD PATIENT FOR WHOM LESS THAN SIX DIALYSIS SESSIONS HAVE BEEN PROVIDED IN A   ESRD PATIENT <6 DIALYSIS/MTH                                                                                                              C                                      1998050119980501        N,,2025-11-19 23:10:51
G6002008MONTH,,2025-11-19 23:10:51
G7001007PREGNANCY RESULTED FROM RAPE OR INCEST OR PREGNANCY CERTIFIED BY PHYSICIAN AS   PAYMENT LIMITS DO NOT APPLY          35-99             2005.1                                                                             D                      0084            1999070119990701        N,,2025-11-19 23:10:51
G7002008LIFE THREATENING,,2025-11-19 23:10:51
"G8001007MONITORED ANESTHESIA CARE (MAC) FOR DEEP COMPLEX, COMPLICATED, OR MARKEDLY      MONITORED ANESTHESIA CARE                                                                                                                 C                      0083            1999070119990701        N",,2025-11-19 23:10:51
G8002008INVASIVE SURGICAL PROCEDURE,,2025-11-19 23:10:51
G9001007MONITORED ANESTHESIA CARE FOR PATIENT WHO HAS HISTORY OF SEVERE                 MAC FOR AT RISK PATIENT                                                                                                                   C                                      1999070119990701        N,,2025-11-19 23:10:51
G9002008CARDIO-PULMONARY CONDITION,,2025-11-19 23:10:51
"GA001007WAIVER OF LIABILITY STATEMENT ISSUED AS REQUIRED BY PAYER POLICY, INDIVIDUAL    LIABILITY WAIVER IND CASE                                                                                                                 C                                      1995010120110101        N",,2025-11-19 23:10:51
GA002008CASE,,2025-11-19 23:10:51
GB001007CLAIM BEING RE-SUBMITTED FOR PAYMENT BECAUSE IT IS NO LONGER COVERED UNDER A    CLAIM RESUBMITTED                                                                                                                         C                                      2002010120020101        N,,2025-11-19 23:10:51
GB002008GLOBAL PAYMENT DEMONSTRATION,,2025-11-19 23:10:51
GC001007THIS SERVICE HAS BEEN PERFORMED IN PART BY A RESIDENT UNDER THE DIRECTION OF A  RESIDENT/TEACHING PHYS SERV                            3350.5  4116                                                                       D                                      1997010120010101        N,,2025-11-19 23:10:51
GC002008TEACHING PHYSICIAN,,2025-11-19 23:10:51
GD001007UNITS OF SERVICE EXCEEDS MEDICALLY UNLIKELY EDIT VALUE AND REPRESENTS           UNIT OF SERVICE > MUE VALUE                                                                                                               C                                      200801012020010120191231N,,2025-11-19 23:10:51
GD002008REASONABLE AND NECESSARY SERVICES,,2025-11-19 23:10:51
GE001007THIS SERVICE HAS BEEN PERFORMED BY A RESIDENT WITHOUT THE PRESENCE OF A         RESIDENT PRIM CARE EXCEPTION                           4116                                                                               D                                      1997010119970101        N,,2025-11-19 23:10:51
GE002008TEACHING PHYSICIAN UNDER THE PRIMARY CARE EXCEPTION,,2025-11-19 23:10:51
"GF001007NON-PHYSICIAN (E.G. NURSE PRACTITIONER (NP), CERTIFIED REGISTERED NURSE         NONPHYSICIAN SERV C A HOSP                                                                                                                C                                      2003040120030401        N",,2025-11-19 23:10:51
"GF002008ANESTHETIST (CRNA), CERTIFIED REGISTERED NURSE (CRN), CLINICAL NURSE SPECIALIST",,2025-11-19 23:10:51
"GF003008(CNS), PHYSICIAN ASSISTANT (PA)) SERVICES IN A CRITICAL ACCESS HOSPITAL",,2025-11-19 23:10:51
GG001007PERFORMANCE AND PAYMENT OF A SCREENING MAMMOGRAM AND DIAGNOSTIC MAMMOGRAM ON    PAYMENT SCREEN MAM + DIAGMAM                                                                                                              C                                      2002010120020101        N,,2025-11-19 23:10:51
"GG002008THE SAME PATIENT, SAME DAY",,2025-11-19 23:10:51
GH001007DIAGNOSTIC MAMMOGRAM CONVERTED FROM SCREENING MAMMOGRAM ON SAME DAY             DIAG MAMMO TO SCREENING MAMO                                                                                                              C                                      1998100119981001        N,,2025-11-19 23:10:51
"GJ001007""OPT OUT"" PHYSICIAN OR PRACTITIONER EMERGENCY OR URGENT SERVICE                 OPT OUT PROVIDER OF ER SRVC                                                                                                               C                                      1998100119981001        N",,2025-11-19 23:10:51
