code,description,last_updated
3;N;X;01;A00;A02.-;A02;A02;OTHER SALMONELLA INFECTIONS;OTHER SALMONELLA INFECTIONS;;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A02.0;A02.0;A020;SALMONELLA ENTERITIS;OTHER SALMONELLA INFECTIONS;SALMONELLA ENTERITIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A02.1;A02.1;A021;SALMONELLA SEPSIS;OTHER SALMONELLA INFECTIONS;SALMONELLA SEPSIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A02.2;A02.2;A022;LOCALIZED SALMONELLA INFECTIONS;OTHER SALMONELLA INFECTIONS;LOCALIZED SALMONELLA INFECTIONS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A02.8;A02.8;A028;OTHER SPECIFIED SALMONELLA INFECTIONS;OTHER SALMONELLA INFECTIONS;OTHER SPECIFIED SALMONELLA INFECTIONS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A02.9;A02.9;A029;SALMONELLA INFECTION, UNSPECIFIED;OTHER SALMONELLA INFECTIONS;SALMONELLA INFECTION, UNSPECIFIED;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
3;N;X;01;A00;A03.-;A03;A03;SHIGELLOSIS;SHIGELLOSIS;;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A03.0;A03.0;A030;SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE;SHIGELLOSIS;SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A03.1;A03.1;A031;SHIGELLOSIS DUE TO SHIGELLA FLEXNERI;SHIGELLOSIS;SHIGELLOSIS DUE TO SHIGELLA FLEXNERI;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A03.2;A03.2;A032;SHIGELLOSIS DUE TO SHIGELLA BOYDII;SHIGELLOSIS;SHIGELLOSIS DUE TO SHIGELLA BOYDII;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A03.3;A03.3;A033;SHIGELLOSIS DUE TO SHIGELLA SONNEI;SHIGELLOSIS;SHIGELLOSIS DUE TO SHIGELLA SONNEI;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A03.8;A03.8;A038;OTHER SHIGELLOSIS;SHIGELLOSIS;OTHER SHIGELLOSIS;;003;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A03.9;A03.9;A039;SHIGELLOSIS, UNSPECIFIED;SHIGELLOSIS;SHIGELLOSIS, UNSPECIFIED;;003;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
3;N;X;01;A00;A04.-;A04;A04;OTHER BACTERIAL INTESTINAL INFECTIONS;OTHER BACTERIAL INTESTINAL INFECTIONS;;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.0;A04.0;A040;ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.1;A04.1;A041;ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.2;A04.2;A042;ENTEROINVASIVE ESCHERICHIA COLI INFECTION;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTEROINVASIVE ESCHERICHIA COLI INFECTION;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.3;A04.3;A043;ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.4;A04.4;A044;OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS;OTHER BACTERIAL INTESTINAL INFECTIONS;OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.5;A04.5;A045;CAMPYLOBACTER ENTERITIS;OTHER BACTERIAL INTESTINAL INFECTIONS;CAMPYLOBACTER ENTERITIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.6;A04.6;A046;ENTERITIS DUE TO YERSINIA ENTEROCOLITICA;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTERITIS DUE TO YERSINIA ENTEROCOLITICA;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.7;A04.7;A047;ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE;OTHER BACTERIAL INTESTINAL INFECTIONS;ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A04.8;A04.8;A048;OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS;OTHER BACTERIAL INTESTINAL INFECTIONS;OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A04.9;A04.9;A049;BACTERIAL INTESTINAL INFECTION, UNSPECIFIED;OTHER BACTERIAL INTESTINAL INFECTIONS;BACTERIAL INTESTINAL INFECTION, UNSPECIFIED;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"3;N;X;01;A00;A05.-;A05;A05;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.0;A05.0;A050;FOODBORNE STAPHYLOCOCCAL INTOXICATION;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;FOODBORNE STAPHYLOCOCCAL INTOXICATION;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.1;A05.1;A051;BOTULISM;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;BOTULISM;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.2;A05.2;A052;FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.3;A05.3;A053;FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.4;A05.4;A054;FOODBORNE BACILLUS CEREUS INTOXICATION;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;FOODBORNE BACILLUS CEREUS INTOXICATION;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.8;A05.8;A058;OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
"4;T;X;01;A00;A05.9;A05.9;A059;BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED;OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED;BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
3;N;X;01;A00;A06.-;A06;A06;AMOEBIASIS;AMOEBIASIS;;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.0;A06.0;A060;ACUTE AMOEBIC DYSENTERY;AMOEBIASIS;ACUTE AMOEBIC DYSENTERY;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.1;A06.1;A061;CHRONIC INTESTINAL AMOEBIASIS;AMOEBIASIS;CHRONIC INTESTINAL AMOEBIASIS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.2;A06.2;A062;AMOEBIC NONDYSENTERIC COLITIS;AMOEBIASIS;AMOEBIC NONDYSENTERIC COLITIS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.3;A06.3;A063;AMOEBOMA OF INTESTINE;AMOEBIASIS;AMOEBOMA OF INTESTINE;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.4;A06.4;A064;AMOEBIC LIVER ABSCESS;AMOEBIASIS;AMOEBIC LIVER ABSCESS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.5;A06.5;A065;AMOEBIC LUNG ABSCESS;AMOEBIASIS;AMOEBIC LUNG ABSCESS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.6;A06.6;A066;AMOEBIC BRAIN ABSCESS;AMOEBIASIS;AMOEBIC BRAIN ABSCESS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.7;A06.7;A067;CUTANEOUS AMOEBIASIS;AMOEBIASIS;CUTANEOUS AMOEBIASIS;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A06.8;A06.8;A068;AMOEBIC INFECTION OF OTHER SITES;AMOEBIASIS;AMOEBIC INFECTION OF OTHER SITES;;004;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A06.9;A06.9;A069;AMOEBIASIS, UNSPECIFIED;AMOEBIASIS;AMOEBIASIS, UNSPECIFIED;;004;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
3;N;X;01;A00;A07.-;A07;A07;OTHER PROTOZOAL INTESTINAL DISEASES;OTHER PROTOZOAL INTESTINAL DISEASES;;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A07.0;A07.0;A070;BALANTIDIASIS;OTHER PROTOZOAL INTESTINAL DISEASES;BALANTIDIASIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A07.1;A07.1;A071;GIARDIASIS [LAMBLIASIS];OTHER PROTOZOAL INTESTINAL DISEASES;GIARDIASIS [LAMBLIASIS];;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A07.2;A07.2;A072;CRYPTOSPORIDIOSIS;OTHER PROTOZOAL INTESTINAL DISEASES;CRYPTOSPORIDIOSIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A07.3;A07.3;A073;ISOSPORIASIS;OTHER PROTOZOAL INTESTINAL DISEASES;ISOSPORIASIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A07.8;A07.8;A078;OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES;OTHER PROTOZOAL INTESTINAL DISEASES;OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A07.9;A07.9;A079;PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED;OTHER PROTOZOAL INTESTINAL DISEASES;PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
3;N;X;01;A00;A08.-;A08;A08;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A08.0;A08.0;A080;ROTAVIRAL ENTERITIS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;ROTAVIRAL ENTERITIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A08.1;A08.1;A081;ACUTE GASTROENTEROPATHY DUE TO NOROVIRUS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;ACUTE GASTROENTEROPATHY DUE TO NOROVIRUS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A08.2;A08.2;A082;ADENOVIRAL ENTERITIS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;ADENOVIRAL ENTERITIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A08.3;A08.3;A083;OTHER VIRAL ENTERITIS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;OTHER VIRAL ENTERITIS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A08.4;A08.4;A084;VIRAL INTESTINAL INFECTION, UNSPECIFIED;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;VIRAL INTESTINAL INFECTION, UNSPECIFIED;;006;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
4;T;X;01;A00;A08.5;A08.5;A085;OTHER SPECIFIED INTESTINAL INFECTIONS;VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS;OTHER SPECIFIED INTESTINAL INFECTIONS;;006;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
3;N;X;01;A00;A09.-;A09;A09;OTHER GASTROENTERITIS AND COLITIS OF INFECTIOUS AND UNSPECIFIED ORIGIN;OTHER GASTROENTERITIS AND COLITIS OF INFECTIOUS AND UNSPECIFIED ORIGIN;;;005;4-001;3-002;2-002;1-003,,2025-11-20 20:18:05
4;T;X;01;A00;A09.0;A09.0;A090;OTHER AND UNSPECIFIED GASTROENTERITIS AND COLITIS OF INFECTIOUS ORIGIN;OTHER GASTROENTERITIS AND COLITIS OF INFECTIOUS AND UNSPECIFIED ORIGIN;OTHER AND UNSPECIFIED GASTROENTERITIS AND COLITIS OF INFECTIOUS ORIGIN;;005;4-001;3-002;2-002;1-003,,2025-11-20 20:18:05
4;T;X;01;A00;A09.9;A09.9;A099;GASTROENTERITIS AND COLITIS OF UNSPECIFIED ORIGIN;OTHER GASTROENTERITIS AND COLITIS OF INFECTIOUS AND UNSPECIFIED ORIGIN;GASTROENTERITIS AND COLITIS OF UNSPECIFIED ORIGIN;;005;4-001;3-002;2-002;1-003,,2025-11-20 20:18:05
"3;N;X;01;A15;A15.-;A15;A15;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.0;A15.0;A150;TUBERCULOSIS OF LUNG, CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF LUNG, CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.1;A15.1;A151;TUBERCULOSIS OF LUNG, CONFIRMED BY CULTURE ONLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF LUNG, CONFIRMED BY CULTURE ONLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.2;A15.2;A152;TUBERCULOSIS OF LUNG, CONFIRMED HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF LUNG, CONFIRMED HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.3;A15.3;A153;TUBERCULOSIS OF LUNG, CONFIRMED BY UNSPECIFIED MEANS;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF LUNG, CONFIRMED BY UNSPECIFIED MEANS;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.4;A15.4;A154;TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.5;A15.5;A155;TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.6;A15.6;A156;TUBERCULOUS PLEURISY, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;TUBERCULOUS PLEURISY, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.7;A15.7;A157;PRIMARY RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;PRIMARY RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.8;A15.8;A158;OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A15.9;A15.9;A159;RESPIRATORY TUBERCULOSIS UNSPECIFIED, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED;RESPIRATORY TUBERCULOSIS UNSPECIFIED, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"3;N;X;01;A15;A16.-;A16;A16;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.0;A16.0;A160;TUBERCULOSIS OF LUNG, BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOSIS OF LUNG, BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.1;A16.1;A161;TUBERCULOSIS OF LUNG, BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOSIS OF LUNG, BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.2;A16.2;A162;TUBERCULOSIS OF LUNG, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOSIS OF LUNG, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.3;A16.3;A163;TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.4;A16.4;A164;TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.5;A16.5;A165;TUBERCULOUS PLEURISY, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;TUBERCULOUS PLEURISY, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.7;A16.7;A167;PRIMARY RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;PRIMARY RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.8;A16.8;A168;OTHER RESPIRATORY TUBERCULOSIS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;OTHER RESPIRATORY TUBERCULOSIS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
"4;T;X;01;A15;A16.9;A16.9;A169;RESPIRATORY TUBERCULOSIS UNSPECIFIED, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY;RESPIRATORY TUBERCULOSIS UNSPECIFIED, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION;;007;4-003;3-004;2-004;1-005",,2025-11-20 20:18:05
3;N;X;01;A15;A17.-;A17;A17;TUBERCULOSIS OF NERVOUS SYSTEM;TUBERCULOSIS OF NERVOUS SYSTEM;;;008;4-003;3-004;2-005;1-006,,2025-11-20 20:18:05
4;T;X;01;A15;A17.0;A17.0;A170;TUBERCULOUS MENINGITIS;TUBERCULOSIS OF NERVOUS SYSTEM;TUBERCULOUS MENINGITIS;;008;4-003;3-004;2-005;1-006,,2025-11-20 20:18:05
4;T;X;01;A15;A17.1;A17.1;A171;MENINGEAL TUBERCULOMA;TUBERCULOSIS OF NERVOUS SYSTEM;MENINGEAL TUBERCULOMA;;008;4-003;3-004;2-005;1-006,,2025-11-20 20:18:05
